position_x,position_y,position_z,attitude_x,attitude_y,attitude_z,attitude_w,input_throttle,input_yaw,input_pitch,input_roll,timestamp
468.96182,8.3414,373.06918,-0.00000037337355,0.96969783,-0.0000006072761,0.24430767,0.50415045,0.0004882887,0.33170062,-0.0004882887,596.43
468.96237,8.390063,373.06833,0.016165083,0.9675742,-0.06443963,0.24369346,0.5163653,0.0004882887,0.36296636,-0.0004882887,596.52997
468.9751,8.532644,373.04486,0.034031168,0.9602053,-0.13564792,0.2417586,0.536881,0.0004882887,0.377615,-0.0004882887,596.63
469.01175,8.752364,372.97668,0.053561985,0.9469912,-0.21167432,0.23565404,0.51880676,0.042496376,0.4108339,-0.0004882887,596.73
469.0788,9.010221,372.85196,0.074918926,0.9274457,-0.2920193,0.22126107,0.39619288,0.05909819,0.41963837,-0.031738766,596.83
469.16867,9.238544,372.68494,0.08606601,0.9014385,-0.37037307,0.20694277,0.33512628,0.0004882887,0.33560693,-0.045426108,596.93
469.27945,9.411587,372.4742,0.09402642,0.884415,-0.40983734,0.20249131,0.44406804,0.0004882887,0.16560617,-0.0004882887,597.02997
469.4284,9.556832,372.18433,0.09807548,0.8759605,-0.42766118,0.20044999,0.50463873,0.0004882887,0.055191882,-0.0004882887,597.13
469.62698,9.690764,371.79193,0.0919919,0.8757326,-0.431098,0.19693759,0.5246662,0.0004882887,0.0004882887,-0.08450446,597.23
469.87488,9.818224,371.2917,0.086022265,0.8763249,-0.4325031,0.19389714,0.5222248,0.0004882887,0.0004882887,-0.0004882887,597.33
470.16663,9.935402,370.68973,0.08600645,0.87630093,-0.43260422,0.19378656,0.50805676,0.0004882887,-0.0043945983,-0.0004882887,597.43
470.49756,10.035016,369.99728,0.08345681,0.88184816,-0.42123464,0.19478244,0.54176396,0.0004882887,-0.16169986,-0.0004882887,597.52997
470.86844,10.126756,369.21198,0.07862763,0.8921723,-0.3989042,0.19677885,0.5539788,0.0004882887,-0.11772335,0.013183795,597.63
471.2784,10.222569,368.3356,0.0780321,0.8960784,-0.3894927,0.19811575,0.54225224,0.0004882887,0.0004882887,-0.0004882887,597.73
471.72308,10.318855,367.3791,0.07804501,0.89607394,-0.3895441,0.19803031,0.53834593,0.0004882887,0.0004882887,-0.0004882887,597.83
472.1999,10.412644,366.3481,0.07874019,0.8966226,-0.38789308,0.19851168,0.5774243,0.0004882887,-0.06398108,0.051285572,597.93
472.7102,10.511166,365.23975,0.09126533,0.89995503,-0.37334695,0.20582469,0.56374454,0.0004882887,-0.079621576,0.15875487,598.02997
473.25195,10.608351,364.07025,0.11886009,0.8993036,-0.35980225,0.21832936,0.5217365,0.0004882887,-0.009277485,0.19882506,598.13
473.82492,10.6911745,362.86047,0.14867488,0.89433956,-0.3521538,0.23246582,0.53248644,-0.04054322,0.0004882887,0.18416114,598.23
474.43567,10.760308,361.61844,0.17171058,0.8873862,-0.34658659,0.25087628,0.5486076,-0.062027924,-0.0024414435,0.15094225,598.33
475.0932,10.821442,360.3471,0.18376625,0.8827003,-0.34149152,0.26543143,0.5671702,-0.04835584,-0.020996414,0.024902724,598.43
475.80423,10.881327,359.047,0.18125658,0.8819716,-0.33928803,0.27231562,0.57888913,-0.034683757,-0.035660334,-0.0004882887,598.52997
476.56888,10.945242,357.71814,0.17680065,0.8829682,-0.33326864,0.2793577,0.5906157,-0.04444953,-0.09231708,-0.0004882887,598.63
477.38577,11.017111,356.36115,0.17488821,0.8850119,-0.31735152,0.29232863,0.5915923,-0.06790265,-0.12162966,0.112840466,598.73
478.2523,11.098644,354.98096,0.18437172,0.8824366,-0.29639548,0.31537682,0.58524454,-0.106981,-0.11088731,0.14117648,598.83
479.16757,11.189889,353.58893,0.19430779,0.87578964,-0.27619705,0.3448945,0.5774243,-0.14117648,-0.11186389,0.16169986,598.93
480.12872,11.288561,352.19876,0.20746581,0.8656143,-0.25534803,0.37744856,0.56570536,-0.13531701,-0.10405127,0.19197376,599.02997
481.1352,11.392388,350.8205,0.2279977,0.85210013,-0.23032767,0.41096446,0.56570536,-0.13727017,-0.13824674,0.24376288,599.13
482.19043,11.502521,349.4643,0.25437927,0.8347971,-0.19148852,0.4491516,0.58084995,-0.14801252,-0.1861143,0.30238804,599.23
483.30792,11.632567,348.1409,0.28934088,0.80927455,-0.13958906,0.49180418,0.64924085,-0.15191883,-0.20468453,0.3600366,599.33
483.6601,11.681226,347.7535,0.3000314,0.8007314,-0.12274692,0.50372964,0.6888075,-0.12748913,-0.20370795,0.320943,599.35504
485.98083,12.288162,345.7436,0.29977733,0.7910644,-0.053309478,0.53057396,1,0.0004882887,-0.3365835,-0.0004882887,599.52997
487.65216,13.048834,344.7857,0.2501905,0.79807884,0.0107290335,0.5480511,1,0.08938735,-0.47922483,-0.12846571,599.63
489.4474,14.121838,344.02737,0.15042412,0.8026647,0.09341304,0.56954014,1,0.0004882887,-0.7058976,-0.25645837,599.73
491.23947,15.420604,343.43463,-0.12940863,0.70794904,0.37350354,0.5852834,0.1597467,0.0004882887,-1,-0.323888,599.83
492.94873,16.6199,342.8883,-0.41449597,0.4445145,0.6466086,0.4609744,0.0009842217,0.0004882887,-1,-0.106004424,599.93
494.5321,17.625479,342.3797,-0.59384626,0.07342879,0.7689254,0.22518545,0.0009842217,0.0004882887,-1,-0.18806745,600.02997
496.0278,18.448566,341.89343,-0.63174486,-0.32235336,0.7027897,-0.055439353,0.0019607842,0.0004882887,-1,-0.09916838,600.13
497.3456,19.066956,341.46143,-0.5850674,-0.5212964,0.5721531,-0.2420478,0.0024490654,0.0004882887,-0.24473946,-0.0004882887,600.2141
498.89743,19.681307,340.95862,-0.58369166,-0.5245985,0.5691609,-0.24526829,0.0024490654,0.0004882887,0.0004882887,-0.0004882887,600.33
500.24377,20.099512,340.52243,-0.5837139,-0.5246196,0.5691724,-0.24514337,0.0034256577,0.0004882887,0.0004882887,-0.0004882887,600.43
501.53424,20.391867,340.10434,-0.5837361,-0.5246406,0.5691839,-0.24501844,0.003913939,0.0004882887,0.0004882887,-0.0004882887,600.52997
502.77136,20.56409,339.70346,-0.5825418,-0.52746636,0.5665975,-0.24777338,0.0034256577,0.0004882887,-0.14508279,-0.0004882887,600.63
503.95633,20.619345,339.31854,-0.5677152,-0.55851126,0.53605884,-0.2800102,0.0034256577,0.0004882887,-0.52320135,-0.0004882887,600.73
505.09296,20.561207,338.9478,-0.5225593,-0.62858284,0.45192555,-0.3571817,0.0048905313,0.0004882887,-0.6091707,-0.0004882887,600.82996
506.18668,20.398739,338.59122,-0.46771538,-0.6854577,0.35997567,-0.4263892,0.08159,0.0004882887,-0.49584192,-0.0004882887,600.93
507.24292,20.13852,338.24777,-0.42724591,-0.7152506,0.29655665,-0.4668316,0.13483635,0.0004882887,-0.28186464,-0.0004882887,601.02997
508.26843,19.784058,337.91534,-0.41411358,-0.72318816,0.2767203,-0.4784713,0.11676204,-0.006347753,0.0004882887,-0.0004882887,601.13
509.26584,19.335955,337.59253,-0.4139746,-0.72304183,0.27692235,-0.4786956,0.0024490654,0.0004882887,0.0004882887,-0.0004882887,601.23
510.23743,18.794989,337.2781,-0.41365165,-0.72252756,0.27746406,-0.47943717,0.0019607842,0,0.0004882887,-0.0004882887,601.32996
511.18802,18.161777,336.9704,-0.41365156,-0.7225715,0.27752355,-0.47933656,0.0024490654,0.0004882887,0.0004882887,-0.0004882887,601.43
512.1185,17.43799,336.6692,-0.41365358,-0.7226191,0.27757984,-0.4792304,0.0019607842,0.0004882887,0.0004882887,-0.0004882887,601.52997
513.02966,16.625357,336.3744,-0.4136556,-0.72266674,0.27763614,-0.47912425,0.0019607842,0.0004882887,0.0004882887,-0.0043945983,601.63
513.9223,15.724956,336.08554,-0.41278177,-0.72321546,0.27814457,-0.4787549,0.013191432,0.0004882887,-0.0122072175,-0.0043945983,601.73
514.7996,14.736234,335.80148,-0.40809113,-0.7259466,0.27194372,-0.48219267,0.14411384,0.0004882887,-0.15875487,-0.024902724,601.82996
515.68243,13.671267,335.52213,-0.37223175,-0.74467504,0.23866121,-0.49994352,0.5896391,0.0004882887,-0.40009156,-0.1489891,601.93
516.71106,12.650492,335.25162,-0.30756575,-0.7724946,0.19252503,-0.5211425,0.7743038,0.0004882887,-0.34830242,-0.23692684,602.02997
